matricula,modelo,año,fabricante
1899ksj,RL,2002,Acura
3929enc,Mariner,2008,Mercury
1567kix,Bravada,1998,Oldsmobile
5337ybj,XL-7,2004,Suzuki
9907poo,Aspire,1996,Ford
5662qqh,Lumina,1996,Chevrolet
6471uom,Equator,2009,Suzuki
7842xtr,Regal,1990,Buick
0004qqt,900,1991,Saab
8537ecg,Econoline E350,1993,Ford
3562aea,RX Hybrid,2010,Lexus
7364duq,G-Class,2003,Mercedes-Benz
5645wdi,Dakota,2011,Ram
8932rta,Avalanche,2010,Chevrolet
6284zyz,G-Series G30,1993,Chevrolet
4281leq,Bonneville,1995,Pontiac
5926dby,Miata MX-5,1996,Mazda
2871ijj,Endeavor,2010,Mitsubishi
7078aqm,F450,2009,Ford
1646mmt,M5,2003,BMW
5616jxp,S6,2011,Audi
2897dsc,Sedona,2002,Kia
2133xxj,Cordia,1986,Mitsubishi
0521ouw,Passport,1999,Honda
8519fck,F-Series,2002,Ford
4510lhh,Cabriolet,1999,Volkswagen
4822wqj,Tempest,1967,Pontiac
6212gjf,Familia,1992,Mazda
0512apa,Arnage,2005,Bentley
5607ipz,Sonoma,2000,GMC
5831kuv,IS F,2008,Lexus
5814qte,Tacoma Xtra,1995,Toyota
2020xdf,NSX,1996,Acura
4313rql,Wrangler,1998,Jeep
4221fak,Truck,1989,Mitsubishi
8930xok,Yukon,2011,GMC
1507xcq,Xterra,2008,Nissan
1495ndg,Intrepid,1993,Dodge
1994ojc,X5,2011,BMW
3048zpb,Miata MX-5,2003,Mazda
2830usy,Sierra 2500,2011,GMC
1489wup,Traverse,2010,Chevrolet
4152zmr,E-350 Super Duty,2006,Ford
7970epa,CC,2011,Volkswagen
2792kcq,S-Class,1991,Mercedes-Benz
6015nqq,SJ,1995,Suzuki
9156trt,350Z,2003,Nissan
9078dpc,Savana 2500,2007,GMC
2413xwt,MDX,2001,Acura
8888rzk,98,1992,Oldsmobile
0374kst,Prius v,2012,Toyota
3274etn,Grand Voyager,1999,Plymouth
3681dye,G-Class,2005,Mercedes-Benz
